"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidepressant"
"54342"	"Mirtazapine 15mg tablets (Medreich Plc)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"54644"	"Mirtazapine 15mg tablets (Pfizer Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"54686"	"Tryptophan 500mg capsules"	"Tryptophan"	"500mg"	"Capsule"	"Oral"	"04030400"	"Tryptophan"
"54747"	"Optimax 500mg capsules (Intrapharm Laboratories Ltd)"	"Tryptophan"	"500mg"	"Capsule"	"Oral"	"04030400"	"Tryptophan"
"54792"	"Mirtazapine 30mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"54826"	"Sertraline 150mg/5ml oral suspension"	"Sertraline"	"30mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"54827"	"Citalopram 10mg/5ml oral suspension"	"Citalopram"	"2mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Citalopram"
"54877"	"Amitriptyline 25mg tablets (Accord Healthcare Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"54933"	"Sertraline 100mg tablets (PLIVA Pharma Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"55023"	"Paroxetine 20mg tablets (Medreich Plc)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"55033"	"Citalopram 40mg tablets (DE Pharmaceuticals)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"55137"	"Trazodone 150mg/5ml oral suspension"	"Trazodone"	"30mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Trazodone"
"55138"	"Trazodone 250mg/5ml oral solution"	"Trazodone"	"50mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"55139"	"Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"55146"	"Sertraline 100mg tablets (A A H Pharmaceuticals Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"55289"	"Asendis 50mg tablets (Mercury Pharma Group Ltd)"	"Amoxapine"	"50mg"	"Tablet"	"Oral"	"00000000"	"Amoxapine"
"55424"	"Venlafaxine"	"Venlafaxine"	NA	NA	NA	"04030400"	"Venlafaxine"
"55482"	"Mirtazapine 15mg orodispersible tablets (Mylan)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"55488"	"Sertraline 50mg tablets (Teva UK Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"55491"	"Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"55501"	"Venlafaxine 150mg Modified-release capsule (Hillcross Pharmaceuticals Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"55537"	"Seroxat 30mg tablets (Lexon (UK) Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"55970"	"Nortriptyline 10mg tablets (King Pharmaceuticals Ltd)"	"Nortriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"56009"	"Citalopram 20mg tablets (Arrow Generics Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"56209"	"Mirtazapine 30mg tablets (Phoenix Healthcare Distribution Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"56229"	"Lofepramine 70mg/5ml oral solution"	"Lofepramine"	"14mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Lofepramine"
"56292"	"Citalopram 40mg/ml oral drops sugar free (Actavis UK Ltd)"	"Citalopram"	"40mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Citalopram"
"56355"	"Citalopram 10mg tablets (Waymade Healthcare Plc)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"56457"	"Venlafaxine 75mg tablets (Teva UK Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"56501"	"Tofranil 25mg tablets (Lexon (UK) Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"56662"	"Venlafaxine 37.5mg tablets (A A H Pharmaceuticals Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"56703"	"Lofepramine 70mg tablets (Sandoz Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"57107"	"Amitriptyline 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"57226"	"Trazodone 25mg/5ml oral suspension"	"Trazodone"	"5mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Trazodone"
"57532"	"Prozac 20mg capsules (Waymade Healthcare Plc)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"57751"	"Tonpular XL 150mg capsules (Wockhardt UK Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"57926"	"Dosulepin 75mg/5ml oral solution"	"Dosulepin"	"15mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Dosulepin"
"57936"	"Citalopram 40mg/ml oral drops sugar free (A A H Pharmaceuticals Ltd)"	"Citalopram"	"40mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Citalopram"
"57972"	"Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"57978"	"Trimipramine 25mg tablets (Waymade Healthcare Plc)"	"Trimipramine"	"25mg"	"Tablet"	"Oral"	"04030100"	"Trimipramine"
"58291"	"Mirtazapine 15mg orodispersible tablets (Pfizer Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"58450"	"Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"58476"	"Citalopram 20mg tablets (Aurobindo Pharma Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"58625"	"Mirtazapine 45mg tablets (Actavis UK Ltd)"	"Mirtazapine"	"45mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"58664"	"Sertraline 50mg tablets (Mylan)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"58681"	"Venladex XL 75mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"75mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"58723"	"Sertraline 50mg tablets (Accord Healthcare Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"58726"	"Venladex XL 150mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"150mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"58837"	"Venlafaxine 37.5mg modified-release capsules"	"Venlafaxine"	"37.5mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"59035"	"Venlablue XL 37.5mg capsules (Creo Pharma Ltd)"	"Venlafaxine"	"37.5mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"59161"	"Amitriptyline 10mg tablets (Waymade Healthcare Plc)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"59193"	"Citalopram 10mg tablets (Ranbaxy (UK) Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"59288"	"Paroxetine 10mg tablets (Actavis UK Ltd)"	"Paroxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"59358"	"Fluoxetine 20mg capsules (Milpharm Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"59563"	"Venlafaxine 75mg modified-release capsules (Kent Pharmaceuticals Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"59600"	"Sertraline 100mg tablets (Almus Pharmaceuticals Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"59650"	"Citalopram 10mg tablets (Aurobindo Pharma Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"59694"	"Mirtazapine 30mg orodispersible tablets (Phoenix Healthcare Distribution Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"59700"	"Synthamin 14 infusion 1litre bags (Baxter Healthcare Ltd)"	"Tryptophan"	"6.2gram/1litre + 5.1gram/1litre + 4.93gram/1litre + 4.93gram/1litre + 4.76gram/1litre + 4.08gram/1litre + 3.57gram/1litre + 1.53gram/1litre + 17.6gram/1litre + 9.78gram/1litre + 8.76gram/1litre + 5.78gram/1litre + 4.25gram/1litre + 340mg/1litre + 5.94gram/1litre + 5.22gram/1litre + 1.54gram/1litre + 1.02gram/1litre + 3.4gram/1litre"	"Infusion"	"Intravenous"	"09030000"	"Tryptophan"
"59753"	"Sunveniz XL 150mg tablets (Sun Pharmaceuticals UK Ltd)"	"Venlafaxine"	"150mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"59820"	"Amitriptyline 50mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Amitriptyline"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"59923"	"Venlafaxine 37.5mg tablets (Bristol Laboratories Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"59931"	"Trazodone 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Trazodone"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"59953"	"Mirtazapine 15mg tablets (Almus Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"59954"	"Mirtazapine 45mg tablets (Almus Pharmaceuticals Ltd)"	"Mirtazapine"	"45mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"60138"	"Fluoxetine 20mg orodispersible tablets sugar free"	"Fluoxetine"	"20mg"	"Orodispersible tablet"	"Oral"	"04030300"	"Fluoxetine"
"60355"	"Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"60370"	"Zispin SolTab 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"60410"	"Amitriptyline 25mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Amitriptyline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"60449"	"Venlafaxine 75mg tablets (A A H Pharmaceuticals Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"60534"	"Fluoxetine 20mg dispersible tablets sugar free"	"Fluoxetine"	"20mg"	"Dispersible tablet"	"Oral"	"04030300"	"Fluoxetine"
"60538"	"Mirtazapine 30mg tablets (DE Pharmaceuticals)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"60549"	"Venlafaxine 150mg modified-release capsules (Kent Pharmaceuticals Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"60568"	"Citalopram 20mg tablets (Waymade Healthcare Plc)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"60591"	"Lofepramine 70mg tablets (Teva UK Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"60619"	"Fluoxetine 20mg/5ml oral solution (Kent Pharmaceuticals Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"60839"	"Citalopram 40mg tablets (Almus Pharmaceuticals Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"60843"	"Sunveniz XL 75mg tablets (Sun Pharmaceuticals UK Ltd)"	"Venlafaxine"	"75mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"60888"	"Citalopram 10mg tablets (Sigma Pharmaceuticals Plc)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"60895"	"Venlafaxine 37.5mg tablets (Teva UK Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"60962"	"Fluoxetine 20mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"61236"	"Bonilux XL 150mg capsules (Sandoz Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"61335"	"Prozac 20mg capsules (Mawdsley-Brooks & Company Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"61503"	"Sertraline 100mg tablets (Actavis UK Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"61547"	"Mirtazapine 15mg/ml oral solution sugar free (DE Pharmaceuticals)"	"Mirtazapine"	"15mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Mirtazapine"
"61657"	"Trazodone 75mg/5ml oral solution"	"Trazodone"	"15mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"61835"	"Amitriptyline 10mg tablets (DE Pharmaceuticals)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"61842"	"Trazodone 50mg/5ml oral solution"	"Trazodone"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"61856"	"Mirtazapine 15mg orodispersible tablets (Consilient Health Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"62155"	"Fluoxetine 20mg capsules (Phoenix Healthcare Distribution Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"62335"	"Olena 20mg dispersible tablets (AMCo)"	"Fluoxetine"	"20mg"	"Dispersible tablet"	"Oral"	"04030300"	"Fluoxetine"
"62427"	"Lamberts 5-HTP 100mg tablets (Lamberts Healthcare Ltd)"	"Oxitriptan"	"100mg"	"Tablet"	"Oral"	"09040251"	"Oxitriptan"
"62620"	"Clomipramine 10mg capsules (Mylan)"	"Clomipramine"	"10mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"62681"	"Dosulepin 75mg tablets (Sandoz Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"62688"	"Duloxetine 30mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"62692"	"Sertraline 100mg tablets (Bristol Laboratories Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"62693"	"Sertraline 50mg tablets (Bristol Laboratories Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"62734"	"Venlafaxine 150mg/5ml oral suspension"	"Venlafaxine"	"30mg/1ml"	"Oral suspension"	"Oral"	"04030400"	"Venlafaxine"
"62819"	"Sertraline 12.5mg/5ml oral suspension"	"Sertraline"	"2.5mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"62927"	"Sertraline 50mg tablets (Wockhardt UK Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"62950"	"Sertraline 100mg tablets (Accord Healthcare Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"63216"	"Cymbalta 60mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"63268"	"Venlafaxine 75mg/5ml oral suspension"	"Venlafaxine"	"15mg/1ml"	"Oral suspension"	"Oral"	"04030400"	"Venlafaxine"
"63276"	"Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Nortriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"63370"	"Duloxetine 30mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"63403"	"Mirtazapine 30mg tablets (Teva UK Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"63441"	"Citalopram 10mg tablets (Rivopharm (UK) Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"63481"	"Sertraline 50mg tablets (Milpharm Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"63763"	"Duloxetine 60mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"63827"	"Dutonin 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Nefazodone"	"50mg"	"Tablet"	"Oral"	"00000000"	"Nefazodone"
"63859"	"Venlafaxine 75mg tablets (Waymade Healthcare Plc)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"63916"	"Escitalopram 10mg tablets (Actavis UK Ltd)"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"63953"	"Cipramil 20mg tablets (DE Pharmaceuticals)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"64000"	"Amitriptyline 10mg/5ml oral solution sugar free"	"Amitriptyline"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"64101"	"Mirtazapine 15mg orodispersible tablets (Accord Healthcare Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"64139"	"Mirtazapine 45mg orodispersible tablets (Mylan)"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"64141"	"Amitriptyline 5mg/5ml oral solution"	"Amitriptyline"	"1mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"64223"	"Mirtazapine 45mg tablets (Teva UK Ltd)"	"Mirtazapine"	"45mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"64330"	"Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"64423"	"Citalopram 10mg tablets (Accord Healthcare Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"64442"	"Duloxetine 60mg gastro-resistant capsules (Teva UK Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"64458"	"Clomipramine 25mg/5ml oral suspension"	"Clomipramine"	"5mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Clomipramine"
"64647"	"Amitriptyline 25mg tablets (DE Pharmaceuticals)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"64785"	"Paroxetine 30mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"65152"	"Trazodone 100mg/5ml oral solution"	"Trazodone"	"20mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"65165"	"Duloxetine 20mg gastro-resistant capsules (DE Pharmaceuticals)"	"Duloxetine"	"20mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"65213"	"Trimipramine 50mg/5ml oral solution"	"Trimipramine"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trimipramine"
"65237"	"Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd)"	"Nortriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"65439"	"Amitriptyline 25mg tablets (Sandoz Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100"	"Amitriptyline"
"65445"	"Trimipramine 50mg capsules (A A H Pharmaceuticals Ltd)"	"Trimipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trimipramine"
"65482"	"Vortioxetine 5mg tablets"	"Vortioxetine"	"5mg"	"Tablet"	"Oral"	"04030400"	"Vortioxetine"
"65483"	"Vortioxetine 10mg tablets"	"Vortioxetine"	"10mg"	"Tablet"	"Oral"	"04030400"	"Vortioxetine"
"65555"	"Mirtazapine 15mg orodispersible tablets (Sigma Pharmaceuticals Plc)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"65618"	"Duloxetine 30mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"65666"	"Venlafaxine 225mg modified-release capsules"	"Venlafaxine"	"225mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"65738"	"Efexor 37.5mg tablets (Sigma Pharmaceuticals Plc)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"65762"	"Clomipramine 25mg capsules (Waymade Healthcare Plc)"	"Clomipramine"	"25mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"65771"	"Sertraline 200mg/5ml oral suspension (Special Order)"	"Sertraline"	NA	"Oral Suspension"	"Oral"	"04030300"	"Sertraline"
"65804"	"Clomipramine 50mg capsules (Teva UK Ltd)"	"Clomipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"65809"	"Duloxetine 30mg gastro-resistant capsules (Actavis UK Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"65879"	"Amitriptyline 10mg tablets (Sigma Pharmaceuticals Plc)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"65888"	"Duloxetine 60mg gastro-resistant capsules (Actavis UK Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"65892"	"Duloxetine 60mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500/07040250"	"Duloxetine"
"65899"	"Efexor XL 225mg capsules (Pfizer Ltd)"	"Venlafaxine"	"225mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"65987"	"Amitriptyline 25mg tablets (Crescent Pharma Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"66100"	"Lofepramine 70mg tablets (DE Pharmaceuticals)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"66183"	"Mirtazapine 15mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"66201"	"Nortriptyline 25mg tablets (Sigma Pharmaceuticals Plc)"	"Nortriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"66292"	"Seroxat 10mg tablets (Waymade Healthcare Plc)"	"Paroxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"66405"	"Duloxetine 60mg gastro-resistant capsules (DE Pharmaceuticals)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"66412"	"Duloxetine 30mg gastro-resistant capsules (DE Pharmaceuticals)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"66413"	"Sertraline 100mg tablets (Ranbaxy (UK) Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"66437"	"Venlafaxine 75mg tablets (DE Pharmaceuticals)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"66493"	"Trimipramine 25mg/5ml oral suspension"	"Trimipramine"	"5mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Trimipramine"
"66560"	"Sertraline 100mg tablets (Mylan)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"66572"	"Amitriptyline 25mg tablets (Sigma Pharmaceuticals Plc)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"66578"	"Amitriptyline 10mg tablets (Mawdsley-Brooks & Company Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"66579"	"Amitriptyline 25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"66580"	"Mirtazapine 15mg orodispersible tablets (Bluefish Pharmaceuticals AB)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"66744"	"Fluoxetine 20mg capsules (Morningside Healthcare Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"66749"	"Trazodone 10mg/5ml oral solution"	"Trazodone"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"66752"	"Mirtazapine 15mg tablets (Aurobindo Pharma Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"66890"	"Vortioxetine 20mg tablets"	"Vortioxetine"	"20mg"	"Tablet"	"Oral"	"04030400"	"Vortioxetine"
"66919"	"Trimipramine 50mg capsules (Waymade Healthcare Plc)"	"Trimipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trimipramine"
"67092"	"Fluoxetine 20mg capsules (Waymade Healthcare Plc)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"67097"	"Citalopram 20mg tablets (Accord Healthcare Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
